Interests,Budget Range,Travel Type,Accommodation Preference,Transport Preferences,Preferred Locations,Activities
"Culture, Adventure, Relaxation",High,Solo,Eco-friendly,Rental Car,"Mihintale, Arugambay, Colombo, Matara",Climb Mihintale Rock Temple; Surf in Arugambay; Visit a Gangaramaya Temple; Visit Parey Dewa in Matara
Wildlife,Medium,Family,Budget,Bus,"Sinharaja, Yala",Trek in Sinharaja Rainforest; Safari in Yala National Park
"Relaxation, Beach",Low,Group,Eco-friendly,Train,"Dambulla, Hambanthota",Explore Dambulla Cave Temple; Explore Bundala National Park
"Adventure, Culture, Relaxation",Low,Group,Luxury,Train,"Unawatuna, Nuwara Eliya, Ella, Trincomalee, Sigiriya, Galle, Galle, Colombo, Negombo",Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya; Hike Ella Rock; Snorkel at Pigeon Island; Visit Sigiriya Rock Fortress; Explore Dutch Fort in Galle; Explore Dutch Fort in Galle; Visit a Gangaramaya Temple; Relax on Negombo Beach
"Wildlife, Adventure",High,Group,Eco-friendly,Rental Car,"Yala, Wilpattu, Minneriya, Nuwara Eliya, Ella",Safari in Yala National Park; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Tour tea plantations in Nuwara Eliya; Hike Ella Rock
Relaxation,Low,Family,Eco-friendly,Train,Arugambay,Surf in Arugambay
"Relaxation, Wildlife, Adventure",Low,Group,Eco-friendly,Train,"Colombo, Hatton, Udawalawa, Sinharaja, Nuwara Eliya, Mirissa, Arugambay",Visit a Gangaramaya Temple; Hike Adam’s Peak; Elephant watching in Udawalawa; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Surf in Arugambay
Relaxation,Medium,Group,Budget,Bus,"Negombo, Nuwara Eliya, Hambanthota",Relax on Negombo Beach; Tour tea plantations in Nuwara Eliya; Explore Bundala National Park
"Relaxation, Wildlife, Culture",Low,Group,Eco-friendly,Train,"Kandy, Minneriya, Sigiriya, Jaffna, Mihintale",Visit the Temple of the Sacred Tooth Relic; Visit the elephant gathering in Minneriya; Visit Sigiriya Rock Fortress; Visit Jaffna Fort; Climb Mihintale Rock Temple
"Beach, Wildlife",Low,Group,Budget,Train,"Jaffna, Mirissa, Hikkaduwa, Wilpattu",Visit Jaffna Fort; Go whale watching in Mirissa; Snorkel in Hikkaduwa; Explore Wilpattu National Park
"Culture, Adventure",Medium,Solo,Luxury,Bus,"Trincomalee, Colombo, Ratnapura, Nuwara Eliya, Arugambay, Hikkaduwa",Snorkel at Pigeon Island; Visit a Gangaramaya Temple; Visit gem mines in Ratnapura; Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Snorkel in Hikkaduwa
Beach,Low,Solo,Budget,Train,"Negombo, Arugambay",Relax on Negombo Beach; Surf in Arugambay
"Beach, Relaxation",Low,Group,Eco-friendly,Rental Car,"Unawatuna, Pasikudah, Colombo, Kandy",Relax at Unawatuna Beach; Enjoy snorkeling in Pasikudah; Visit a Gangaramaya Temple; Visit the Temple of the Sacred Tooth Relic
"Adventure, Wildlife",Medium,Group,Budget,Rental Car,"Ella, Mirissa, Hikkaduwa, Minneriya, Udawalawa, Yala",Hike Ella Rock; Go whale watching in Mirissa; Snorkel in Hikkaduwa; Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa; Safari in Yala National Park
"Beach, Culture",High,Solo,Eco-friendly,Rental Car,"Negombo, Dickwella, Galle, Koggala, Kalutara",Relax on Negombo Beach; Visit the Beach; Explore Dutch Fort in Galle; Relax at Koggala Beach; Visit Kalutara Bodhiya
Beach,High,Family,Budget,Train,"Puttalam, Galle, Negombo",Birdwatch at Puttalam Lagoon; Explore Dutch Fort in Galle; Relax on Negombo Beach
"Relaxation, Beach",Low,Family,Luxury,Train,"Galle, Hatton, Weligama, Dickwella",Explore Dutch Fort in Galle; Hike Adam’s Peak; Take surfing lessons in Weligama; Visit the Beach
Relaxation,Medium,Group,Luxury,Bus,"Negombo, Dambulla",Relax on Negombo Beach; Explore Dambulla Cave Temple
"Wildlife, Relaxation",High,Family,Luxury,Bus,"Sinharaja, Nuwara Eliya, Negombo",Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Relax on Negombo Beach
"Wildlife, Relaxation, Adventure",Medium,Group,Luxury,Train,"Habarana, Matara, Unawatuna, Ella, Hikkaduwa",Safari in Habarana; Visit Parey Dewa in Matara; Relax at Unawatuna Beach; Hike Ella Rock; Snorkel in Hikkaduwa
"Adventure, Beach",Low,Solo,Budget,Train,"Hikkaduwa, Nuwara Eliya, Arugambay, Jaffna, Matara",Snorkel in Hikkaduwa; Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Visit Jaffna Fort; Visit Parey Dewa in Matara
"Culture, Beach",High,Group,Budget,Train,"Polonnaruwa, Koggala, Dambulla, Unawatuna, Tangalle, Jaffna",Explore ancient ruins in Polonnaruwa; Relax at Koggala Beach; Explore Dambulla Cave Temple; Relax at Unawatuna Beach; Relax at Tangalle Beach; Visit Jaffna Fort
Culture,Medium,Group,Luxury,Rental Car,"Jaffna, Galle",Visit Jaffna Fort; Explore Dutch Fort in Galle
Adventure,High,Solo,Luxury,Bus,Nuwara Eliya,Tour tea plantations in Nuwara Eliya
Relaxation,High,Group,Luxury,Bus,Galle,Explore Dutch Fort in Galle
Wildlife,Low,Group,Budget,Train,Wilpattu,Explore Wilpattu National Park
"Wildlife, Relaxation, Adventure",Medium,Solo,Budget,Rental Car,"Wilpattu, Habarana, Koggala, Hambanthota, Nuwara Eliya",Explore Wilpattu National Park; Safari in Habarana; Relax at Koggala Beach; Explore Bundala National Park; Tour tea plantations in Nuwara Eliya
"Adventure, Beach, Wildlife",High,Solo,Luxury,Train,"Sinharaja, Bentota, Negombo, Tangalle, Wilpattu, Udawalawa",Trek in Sinharaja Rainforest; Jet skiing in Bentota; Relax on Negombo Beach; Relax at Tangalle Beach; Explore Wilpattu National Park; Elephant watching in Udawalawa
"Relaxation, Wildlife",Medium,Group,Luxury,Bus,"Ella, Wilpattu",Hike Ella Rock; Explore Wilpattu National Park
"Beach, Adventure",Low,Group,Eco-friendly,Rental Car,"Hikkaduwa, Nuwara Eliya",Snorkel in Hikkaduwa; Tour tea plantations in Nuwara Eliya
"Beach, Culture",High,Group,Luxury,Train,"Dickwella, Mihintale, Kandy, Galle",Visit the Beach; Climb Mihintale Rock Temple; Visit the Temple of the Sacred Tooth Relic; Explore Dutch Fort in Galle
"Culture, Wildlife",Low,Solo,Eco-friendly,Train,"Galle, Trincomalee, Mihintale, Minneriya",Explore Dutch Fort in Galle; Snorkel at Pigeon Island; Climb Mihintale Rock Temple; Visit the elephant gathering in Minneriya
"Wildlife, Culture",High,Family,Eco-friendly,Rental Car,"Sinharaja, Colombo",Trek in Sinharaja Rainforest; Visit a Gangaramaya Temple
"Beach, Culture, Wildlife",Low,Family,Luxury,Train,"Tangalle, Polonnaruwa, Anuradhapura, Udawalawa, Wilpattu, Habarana",Relax at Tangalle Beach; Explore ancient ruins in Polonnaruwa; Visit ancient stupas in Anuradhapura; Elephant watching in Udawalawa; Explore Wilpattu National Park; Safari in Habarana
"Wildlife, Relaxation",Low,Group,Eco-friendly,Bus,"Yala, Habarana, Minneriya, Weligama, Hatton, Colombo",Safari in Yala National Park; Safari in Habarana; Visit the elephant gathering in Minneriya; Take surfing lessons in Weligama; Hike Adam’s Peak; Visit a Gangaramaya Temple
Beach,Medium,Group,Luxury,Bus,"Arugambay, Negombo, Hambanthota",Surf in Arugambay; Relax on Negombo Beach; Explore Bundala National Park
"Relaxation, Adventure",High,Family,Luxury,Train,"Galle, Unawatuna, Hambanthota, Arugambay, Hikkaduwa",Explore Dutch Fort in Galle; Relax at Unawatuna Beach; Explore Bundala National Park; Surf in Arugambay; Snorkel in Hikkaduwa
"Culture, Beach, Relaxation",Low,Group,Luxury,Rental Car,"Polonnaruwa, Koggala, Puttalam, Kandy",Explore ancient ruins in Polonnaruwa; Relax at Koggala Beach; Birdwatch at Puttalam Lagoon; Visit the Temple of the Sacred Tooth Relic
Adventure,Low,Solo,Eco-friendly,Rental Car,"Unawatuna, Arugambay, Nuwara Eliya",Relax at Unawatuna Beach; Surf in Arugambay; Tour tea plantations in Nuwara Eliya
"Relaxation, Beach",Medium,Family,Eco-friendly,Rental Car,"Kalutara, Dickwella",Visit Kalutara Bodhiya; Visit the Beach
"Beach, Relaxation",Low,Group,Eco-friendly,Rental Car,"Hikkaduwa, Galle, Kalutara, Weligama",Snorkel in Hikkaduwa; Explore Dutch Fort in Galle; Visit Kalutara Bodhiya; Take surfing lessons in Weligama
"Beach, Relaxation",High,Solo,Budget,Rental Car,"Kalutara, Arugambay, Bentota, Mirissa",Visit Kalutara Bodhiya; Surf in Arugambay; Jet skiing in Bentota; Go whale watching in Mirissa
"Adventure, Culture",High,Family,Budget,Train,"Mirissa, Ella, Unawatuna, Galle, Koggala",Go whale watching in Mirissa; Hike Ella Rock; Relax at Unawatuna Beach; Explore Dutch Fort in Galle; Relax at Koggala Beach
"Beach, Relaxation, Culture",High,Group,Budget,Train,"Arugambay, Tangalle, Dambulla, Matara, Colombo",Surf in Arugambay; Relax at Tangalle Beach; Explore Dambulla Cave Temple; Visit Parey Dewa in Matara; Visit a Gangaramaya Temple
"Culture, Wildlife, Beach",Low,Family,Eco-friendly,Bus,"Polonnaruwa, Koggala, Sigiriya, Habarana, Dickwella, Tangalle, Puttalam",Explore ancient ruins in Polonnaruwa; Relax at Koggala Beach; Visit Sigiriya Rock Fortress; Safari in Habarana; Visit the Beach; Relax at Tangalle Beach; Birdwatch at Puttalam Lagoon
Adventure,High,Solo,Eco-friendly,Rental Car,"Ella, Nuwara Eliya",Hike Ella Rock; Tour tea plantations in Nuwara Eliya
Relaxation,High,Group,Budget,Train,"Hambanthota, Ella",Explore Bundala National Park; Hike Ella Rock
"Adventure, Culture, Beach",Low,Group,Budget,Bus,"Mirissa, Ella, Unawatuna, Anuradhapura, Arugambay",Go whale watching in Mirissa; Hike Ella Rock; Relax at Unawatuna Beach; Visit ancient stupas in Anuradhapura; Surf in Arugambay
"Beach, Culture, Wildlife",Medium,Group,Luxury,Rental Car,"Galle, Colombo, Galle, Yala",Explore Dutch Fort in Galle; Visit a Gangaramaya Temple; Explore Dutch Fort in Galle; Safari in Yala National Park
Wildlife,High,Solo,Eco-friendly,Rental Car,"Minneriya, Sinharaja, Udawalawa",Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa
"Beach, Wildlife",High,Solo,Budget,Rental Car,"Puttalam, Habarana",Birdwatch at Puttalam Lagoon; Safari in Habarana
"Wildlife, Beach, Relaxation",High,Group,Budget,Bus,"Wilpattu, Udawalawa, Yala, Dickwella, Pasikudah, Colombo, Unawatuna, Koggala",Explore Wilpattu National Park; Elephant watching in Udawalawa; Safari in Yala National Park; Visit the Beach; Enjoy snorkeling in Pasikudah; Visit a Gangaramaya Temple; Relax at Unawatuna Beach; Relax at Koggala Beach
"Adventure, Beach",High,Solo,Luxury,Train,"Nuwara Eliya, Unawatuna, Pasikudah",Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Enjoy snorkeling in Pasikudah
"Wildlife, Beach, Relaxation",Medium,Group,Budget,Train,"Sinharaja, Mirissa, Ella, Kandy",Trek in Sinharaja Rainforest; Go whale watching in Mirissa; Hike Ella Rock; Visit the Temple of the Sacred Tooth Relic
"Relaxation, Culture",High,Group,Eco-friendly,Rental Car,"Kalutara, Arugambay, Colombo, Colombo",Visit Kalutara Bodhiya; Surf in Arugambay; Visit a Gangaramaya Temple; Visit a Gangaramaya Temple
Culture,Low,Family,Luxury,Bus,"Mihintale, Jaffna, Trincomalee",Climb Mihintale Rock Temple; Visit Jaffna Fort; Snorkel at Pigeon Island
"Wildlife, Beach, Culture",Medium,Group,Luxury,Rental Car,"Yala, Arugambay, Pasikudah, Dambulla",Safari in Yala National Park; Surf in Arugambay; Enjoy snorkeling in Pasikudah; Explore Dambulla Cave Temple
"Culture, Adventure, Wildlife",High,Group,Eco-friendly,Rental Car,"Colombo, Jaffna, Kandy, Nuwara Eliya, Mirissa, Udawalawa",Visit a Gangaramaya Temple; Visit Jaffna Fort; Visit the Temple of the Sacred Tooth Relic; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Elephant watching in Udawalawa
"Adventure, Culture",High,Solo,Eco-friendly,Train,"Hikkaduwa, Unawatuna, Mirissa, Polonnaruwa, Mihintale",Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Go whale watching in Mirissa; Explore ancient ruins in Polonnaruwa; Climb Mihintale Rock Temple
"Beach, Relaxation",Low,Group,Eco-friendly,Rental Car,"Jaffna, Pasikudah, Weligama, Mirissa, Colombo",Visit Jaffna Fort; Enjoy snorkeling in Pasikudah; Take surfing lessons in Weligama; Go whale watching in Mirissa; Visit a Gangaramaya Temple
"Beach, Adventure, Relaxation",Medium,Group,Budget,Bus,"Hambanthota, Galle, Negombo, Arugambay, Hambanthota, Kalutara",Explore Bundala National Park; Explore Dutch Fort in Galle; Relax on Negombo Beach; Surf in Arugambay; Explore Bundala National Park; Visit Kalutara Bodhiya
"Culture, Wildlife",Medium,Family,Luxury,Rental Car,"Sigiriya, Kalutara, Galle, Minneriya, Udawalawa",Visit Sigiriya Rock Fortress; Visit Kalutara Bodhiya; Explore Dutch Fort in Galle; Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa
"Culture, Relaxation, Adventure",High,Group,Budget,Train,"Dambulla, Arugambay, Nuwara Eliya, Unawatuna, Mirissa, Nuwara Eliya, Unawatuna",Explore Dambulla Cave Temple; Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach
"Wildlife, Relaxation, Beach",Medium,Family,Eco-friendly,Rental Car,"Minneriya, Kandy, Koggala, Hatton, Arugambay, Kalutara, Galle",Visit the elephant gathering in Minneriya; Visit the Temple of the Sacred Tooth Relic; Relax at Koggala Beach; Hike Adam’s Peak; Surf in Arugambay; Visit Kalutara Bodhiya; Explore Dutch Fort in Galle
"Relaxation, Wildlife, Culture",High,Group,Budget,Bus,"Dambulla, Unawatuna, Hatton, Minneriya, Sinharaja, Habarana, Dambulla, Sigiriya",Explore Dambulla Cave Temple; Relax at Unawatuna Beach; Hike Adam’s Peak; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest; Safari in Habarana; Explore Dambulla Cave Temple; Visit Sigiriya Rock Fortress
Adventure,High,Group,Eco-friendly,Train,"Sinharaja, Mirissa, Hikkaduwa",Trek in Sinharaja Rainforest; Go whale watching in Mirissa; Snorkel in Hikkaduwa
Wildlife,High,Group,Budget,Rental Car,"Yala, Udawalawa",Safari in Yala National Park; Elephant watching in Udawalawa
"Beach, Relaxation, Adventure",Medium,Solo,Budget,Train,"Tangalle, Arugambay, Dambulla, Mirissa, Sinharaja",Relax at Tangalle Beach; Surf in Arugambay; Explore Dambulla Cave Temple; Go whale watching in Mirissa; Trek in Sinharaja Rainforest
"Wildlife, Relaxation, Culture",High,Solo,Luxury,Bus,"Minneriya, Wilpattu, Mirissa, Koggala, Jaffna",Visit the elephant gathering in Minneriya; Explore Wilpattu National Park; Go whale watching in Mirissa; Relax at Koggala Beach; Visit Jaffna Fort
"Beach, Wildlife, Relaxation",High,Group,Budget,Train,"Galle, Pasikudah, Jaffna, Sinharaja, Yala, Habarana, Kalutara, Nuwara Eliya",Explore Dutch Fort in Galle; Enjoy snorkeling in Pasikudah; Visit Jaffna Fort; Trek in Sinharaja Rainforest; Safari in Yala National Park; Safari in Habarana; Visit Kalutara Bodhiya; Tour tea plantations in Nuwara Eliya
"Relaxation, Wildlife, Beach",Medium,Solo,Budget,Train,"Colombo, Matara, Mirissa, Wilpattu, Negombo, Bentota, Kalutara",Visit a Gangaramaya Temple; Visit Parey Dewa in Matara; Go whale watching in Mirissa; Explore Wilpattu National Park; Relax on Negombo Beach; Jet skiing in Bentota; Visit Kalutara Bodhiya
"Relaxation, Culture",High,Solo,Luxury,Rental Car,"Matara, Dambulla, Mirissa, Galle",Visit Parey Dewa in Matara; Explore Dambulla Cave Temple; Go whale watching in Mirissa; Explore Dutch Fort in Galle
Relaxation,Medium,Group,Budget,Rental Car,Ella,Hike Ella Rock
Beach,Medium,Group,Budget,Train,Jaffna,Visit Jaffna Fort
"Wildlife, Relaxation, Culture",Medium,Group,Budget,Rental Car,"Habarana, Udawalawa, Nuwara Eliya, Colombo, Kalutara, Sigiriya, Kalutara",Safari in Habarana; Elephant watching in Udawalawa; Tour tea plantations in Nuwara Eliya; Visit a Gangaramaya Temple; Visit Kalutara Bodhiya; Visit Sigiriya Rock Fortress; Visit Kalutara Bodhiya
Adventure,Low,Solo,Eco-friendly,Rental Car,"Ella, Mirissa, Arugambay",Hike Ella Rock; Go whale watching in Mirissa; Surf in Arugambay
"Wildlife, Beach, Relaxation",Medium,Group,Eco-friendly,Train,"Wilpattu, Tangalle, Mirissa, Negombo, Hatton",Explore Wilpattu National Park; Relax at Tangalle Beach; Go whale watching in Mirissa; Relax on Negombo Beach; Hike Adam’s Peak
Beach,High,Solo,Luxury,Bus,"Hambanthota, Tangalle, Hikkaduwa",Explore Bundala National Park; Relax at Tangalle Beach; Snorkel in Hikkaduwa
Culture,Low,Group,Luxury,Train,Kalutara,Visit Kalutara Bodhiya
"Culture, Relaxation, Beach",High,Group,Budget,Train,"Kalutara, Kandy, Dambulla, Ella, Tangalle",Visit Kalutara Bodhiya; Visit the Temple of the Sacred Tooth Relic; Explore Dambulla Cave Temple; Hike Ella Rock; Relax at Tangalle Beach
"Wildlife, Relaxation",High,Solo,Budget,Rental Car,"Yala, Udawalawa, Ella, Hatton, Negombo",Safari in Yala National Park; Elephant watching in Udawalawa; Hike Ella Rock; Hike Adam’s Peak; Relax on Negombo Beach
Relaxation,Medium,Solo,Luxury,Rental Car,"Dambulla, Weligama, Matara",Explore Dambulla Cave Temple; Take surfing lessons in Weligama; Visit Parey Dewa in Matara
"Culture, Wildlife",Low,Solo,Eco-friendly,Bus,"Colombo, Dambulla, Kalutara, Wilpattu, Yala, Habarana",Visit a Gangaramaya Temple; Explore Dambulla Cave Temple; Visit Kalutara Bodhiya; Explore Wilpattu National Park; Safari in Yala National Park; Safari in Habarana
"Adventure, Culture",Medium,Group,Budget,Train,"Arugambay, Ratnapura",Surf in Arugambay; Visit gem mines in Ratnapura
"Wildlife, Relaxation",Low,Solo,Budget,Bus,"Yala, Udawalawa, Weligama",Safari in Yala National Park; Elephant watching in Udawalawa; Take surfing lessons in Weligama
"Adventure, Wildlife",Medium,Family,Eco-friendly,Train,"Mirissa, Sinharaja, Habarana, Sinharaja, Yala",Go whale watching in Mirissa; Trek in Sinharaja Rainforest; Safari in Habarana; Trek in Sinharaja Rainforest; Safari in Yala National Park
"Adventure, Wildlife, Relaxation",Medium,Family,Eco-friendly,Bus,"Hikkaduwa, Nuwara Eliya, Habarana, Yala, Kalutara, Weligama",Snorkel in Hikkaduwa; Tour tea plantations in Nuwara Eliya; Safari in Habarana; Safari in Yala National Park; Visit Kalutara Bodhiya; Take surfing lessons in Weligama
Beach,Medium,Group,Eco-friendly,Rental Car,Mirissa,Go whale watching in Mirissa
Wildlife,Medium,Solo,Budget,Bus,"Habarana, Minneriya, Sinharaja",Safari in Habarana; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest
"Culture, Relaxation, Adventure",Low,Solo,Luxury,Train,"Anuradhapura, Kandy, Arugambay, Unawatuna, Ella",Visit ancient stupas in Anuradhapura; Visit the Temple of the Sacred Tooth Relic; Surf in Arugambay; Relax at Unawatuna Beach; Hike Ella Rock
"Adventure, Culture, Beach",High,Group,Budget,Rental Car,"Ella, Nuwara Eliya, Galle, Kalutara, Koggala, Negombo",Hike Ella Rock; Tour tea plantations in Nuwara Eliya; Explore Dutch Fort in Galle; Visit Kalutara Bodhiya; Relax at Koggala Beach; Relax on Negombo Beach
Wildlife,Medium,Solo,Budget,Rental Car,"Yala, Habarana",Safari in Yala National Park; Safari in Habarana
"Wildlife, Beach",High,Family,Budget,Train,"Habarana, Dickwella, Tangalle, Matara",Safari in Habarana; Visit the Beach; Relax at Tangalle Beach; Visit Parey Dewa in Matara
"Relaxation, Adventure",High,Solo,Budget,Bus,"Koggala, Kandy, Nuwara Eliya, Ella, Sinharaja",Relax at Koggala Beach; Visit the Temple of the Sacred Tooth Relic; Tour tea plantations in Nuwara Eliya; Hike Ella Rock; Trek in Sinharaja Rainforest
Culture,Medium,Family,Eco-friendly,Rental Car,Trincomalee,Snorkel at Pigeon Island
"Relaxation, Adventure",Low,Group,Luxury,Train,"Koggala, Colombo, Nuwara Eliya",Relax at Koggala Beach; Visit a Gangaramaya Temple; Tour tea plantations in Nuwara Eliya
"Beach, Culture",Low,Group,Luxury,Train,"Jaffna, Galle, Mirissa, Anuradhapura",Visit Jaffna Fort; Explore Dutch Fort in Galle; Go whale watching in Mirissa; Visit ancient stupas in Anuradhapura
Relaxation,Medium,Group,Eco-friendly,Rental Car,"Kalutara, Koggala",Visit Kalutara Bodhiya; Relax at Koggala Beach
